Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount|Profit
3993|CA-2020-161998|01-05-2020|05-05-2020|Standard Class|DB-13120|David Bremer|Corporate|United States|Tampa|Florida|33614|South|OFF-SU-10004261|Office Supplies|Supplies|"Fiskars 8"" Scissors, 2/Pack"|0|0|0.2|4.6548
3994|CA-2020-161998|01-05-2020|05-05-2020|Standard Class|DB-13120|David Bremer|Corporate|United States|Tampa|Florida|33614|South|OFF-AR-10004022|Office Supplies|Art|Panasonic KP-380BK Classic Electric Pencil Sharpener|0|0|0.2|10.794
6349|CA-2020-104486|01-05-2020|06-05-2020|Standard Class|PO-18850|Patrick O'Brill|Consumer|United States|San Francisco|California|94109|West|OFF-ST-10000876|Office Supplies|Storage|Eldon Simplefile Box Office|0|0|0.0|10.4496
6348|CA-2020-104486|01-05-2020|06-05-2020|Standard Class|PO-18850|Patrick O'Brill|Consumer|United States|San Francisco|California|94109|West|OFF-BI-10000309|Office Supplies|Binders|"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black"|0|0|0.2|4.4138
1450|CA-2020-145821|01-05-2020|07-05-2020|Standard Class|JB-15400|Jennifer Braxton|Corporate|United States|Los Angeles|California|90008|West|TEC-PH-10004348|Technology|Phones|OtterBox Defender Series Case - iPhone 5c|0|0|0.2|11.094
6350|CA-2020-104486|01-05-2020|06-05-2020|Standard Class|PO-18850|Patrick O'Brill|Consumer|United States|San Francisco|California|94109|West|OFF-SU-10002573|Office Supplies|Supplies|"Acme 10"" Easy Grip Assistive Scissors"|0|0|0.0|10.518
3992|CA-2020-161998|01-05-2020|05-05-2020|Standard Class|DB-13120|David Bremer|Corporate|United States|Tampa|Florida|33614|South|FUR-FU-10001095|Furniture|Furnishings|DAX Black Cherry Wood-Tone Poster Frame|0|0|0.2|14.2992
4114|CA-2020-116687|02-05-2020|07-05-2020|Standard Class|NC-18625|Noah Childs|Corporate|United States|Houston|Texas|77095|Central|OFF-LA-10000443|Office Supplies|Labels|Avery 501|0|0|0.2|2.9889
4115|CA-2020-116687|02-05-2020|07-05-2020|Standard Class|NC-18625|Noah Childs|Corporate|United States|Houston|Texas|77095|Central|TEC-PH-10001750|Technology|Phones|Samsung Rugby III|0|0|0.2|13.8579
4662|CA-2020-112130|03-05-2020|07-05-2020|Standard Class|SV-20785|Stewart Visinsky|Consumer|United States|Philadelphia|Pennsylvania|19140|East|FUR-CH-10002965|Furniture|Chairs|Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black|0|0|0.3|-36.1764
4663|CA-2020-112130|03-05-2020|07-05-2020|Standard Class|SV-20785|Stewart Visinsky|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-ST-10000563|Office Supplies|Storage|Fellowes Bankers Box Stor/Drawer Steel Plus|0|0|0.2|-9.594
7219|CA-2020-150770|03-05-2020|06-05-2020|First Class|LC-16870|Lena Cacioppo|Consumer|United States|San Francisco|California|94109|West|TEC-AC-10000844|Technology|Accessories|Logitech Gaming G510s - Keyboard|0|0|0.0|122.3856
4659|CA-2020-112130|03-05-2020|07-05-2020|Standard Class|SV-20785|Stewart Visinsky|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-PA-10002230|Office Supplies|Paper|Xerox 1897|0|0|0.2|2.8884
4658|CA-2020-112130|03-05-2020|07-05-2020|Standard Class|SV-20785|Stewart Visinsky|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-AP-10003266|Office Supplies|Appliances|Holmes Replacement Filter for HEPA Air Cleaner, Large Room|0|0|0.2|6.5164
7218|CA-2020-150770|03-05-2020|06-05-2020|First Class|LC-16870|Lena Cacioppo|Consumer|United States|San Francisco|California|94109|West|OFF-BI-20002026|Office Supplies|Binders|Ibico Recycled Linen-Style Covers|0|0|0.2|21.8736
4660|CA-2020-112130|03-05-2020|07-05-2020|Standard Class|SV-20785|Stewart Visinsky|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-AP-10003622|Office Supplies|Appliances|Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack|0|0|0.2|2.0475
4661|CA-2020-112130|03-05-2020|07-05-2020|Standard Class|SV-20785|Stewart Visinsky|Consumer|United States|Philadelphia|Pennsylvania|19140|East|TEC-AC-10001542|Technology|Accessories|SanDisk Cruzer 16 GB USB Flash Drive|0|0|0.2|-0.3444
7217|CA-2020-150770|03-05-2020|06-05-2020|First Class|LC-16870|Lena Cacioppo|Consumer|United States|San Francisco|California|94109|West|OFF-AR-10001246|Office Supplies|Art|Newell 317|0|0|0.0|2.5578
4657|CA-2020-112130|03-05-2020|07-05-2020|Standard Class|SV-20785|Stewart Visinsky|Consumer|United States|Philadelphia|Pennsylvania|19140|East|OFF-AR-10001468|Office Supplies|Art|Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set|0|0|0.2|14.2272
7220|CA-2020-150770|03-05-2020|06-05-2020|First Class|LC-16870|Lena Cacioppo|Consumer|United States|San Francisco|California|94109|West|OFF-BI-10001575|Office Supplies|Binders|GBC Linen Binding Covers|0|0|0.2|17.3488
3778|CA-2020-107937|03-05-2020|08-05-2020|Standard Class|JB-16045|Julia Barnett|Home Office|United States|Chula Vista|California|91911|West|FUR-FU-10002298|Furniture|Furnishings|"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle"|0|0|0.0|106.5408
9551|CA-2020-160864|03-05-2020|06-05-2020|First Class|NF-18595|Nicole Fjeld|Home Office|United States|San Jose|California|95123|West|OFF-BI-10004654|Office Supplies|Binders|Avery Binding System Hidden Tab Executive Style Index Sets|0|0|0.2|5.193
3403|CA-2020-129700|04-05-2020|05-05-2020|First Class|LA-16780|Laura Armstrong|Corporate|United States|Tinley Park|Illinois|60477|Central|FUR-FU-10001940|Furniture|Furnishings|Staples|0|0|0.6|-8.9152
6595|CA-2020-146290|04-05-2020|11-05-2020|Standard Class|SV-20815|Stuart Van|Corporate|United States|Indianapolis|Indiana|46203|Central|OFF-AR-10001897|Office Supplies|Art|Model L Table or Wall-Mount Pencil Sharpener|0|0|0.0|35.2604
305|CA-2020-144253|04-05-2020|09-05-2020|Second Class|AS-10225|Alan Schoenberger|Corporate|United States|New York City|New York|10024|East|FUR-FU-10002671|Furniture|Furnishings|Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp|0|0|0.0|12.864
5727|CA-2020-110548|04-05-2020|08-05-2020|Standard Class|AH-10690|Anna Häberlin|Corporate|United States|Houston|Texas|77095|Central|TEC-PH-10002922|Technology|Phones|ShoreTel ShorePhone IP 230 VoIP phone|0|0|0.2|118.293
