Customer ID,Customer Name,Segment,Location_ID
DP-13000,Darren Powers,Consumer,US-Cen-Tex-Hou-77095
PO-19195,Phillina Ober,Home Office,US-Cen-Ill-Nap-60540
MB-18085,Mick Brown,Consumer,US-Eas-Pen-Phi-19143
ME-17320,Maria Etezadi,Home Office,US-Sou-Ken-Hen-42420
JO-15145,Jack O'Briant,Corporate,US-Sou-Geo-Ath-30605
LS-17230,Lycoris Saunders,Consumer,US-Wes-Cal-Los-90049
VS-21820,Vivek Sundaresam,Consumer,US-Cen-Tex-Hun-77340
MS-17830,Melanie Seite,Consumer,US-Cen-Tex-Lar-78041
AJ-10780,Anthony Jacobs,Corporate,US-Sou-Vir-Spr-22153
SV-20365,Seth Vernon,Consumer,US-Eas-Del-Dov-19901
CS-12250,Chris Selesnick,Corporate,US-Sou-Lou-Bos-71111
BD-11605,Brian Dahlen,Consumer,US-Wes-Cal-San-94109
MM-17920,Michael Moore,Consumer,US-Eas-Ohi-New-43055
ND-18370,Natalie DeCherney,Consumer,US-Sou-Sou-Mou-29464
BS-11590,Brendan Sweed,Corporate,US-Eas-Pen-Phi-19140
EH-13990,Erica Hackney,Consumer,US-Sou-Geo-Ros-30076
DL-13315,Delfina Latchford,Consumer,US-Eas-Pen-Phi-19134
DW-13195,David Wiener,Corporate,US-Wes-Ore-Spr-97477
TS-21340,Toby Swindell,Consumer,US-Wes-Ari-Sco-85254
XP-21865,Xylona Preis,Consumer,US-Cen-Mic-Wes-48185
MV-17485,Mark Van Huff,Consumer,US-Wes-Cal-Los-90049
MM-18280,Muhammed MacIntyre,Corporate,US-Sou-Ten-Smy-37167
HL-15040,Hunter Lopez,Consumer,US-Sou-Ark-Jon-72401
TB-21400,Tom Boeckenhauer,Consumer,US-Sou-Flo-Mia-33180
SG-20605,Speros Goranitis,Consumer,US-Cen-Ind-Laf-47905
IM-15055,Ionia McGrath,Consumer,US-Wes-Nev-Las-89115
SD-20485,Shirley Daniels,Home Office,US-Sou-Vir-Ale-22304
CA-11965,Carol Adams,Corporate,US-Cen-Sou-Rap-57701
EJ-13720,Ed Jacobs,Consumer,US-Wes-Cal-San-92037
JC-15340,Jasper Cacioppo,Consumer,US-Eas-New-New-10024
MV-18190,Mike Vittorini,Consumer,US-Cen-Mic-Det-48234
LC-17050,Liz Carlisle,Consumer,US-Wes-Cal-Mis-92691
BD-11500,Bradley Drucker,Consumer,US-Cen-Wis-Gre-54302
EB-13930,Eric Barreto,Consumer,US-Sou-Flo-Sai-33710
CD-12790,Cynthia Delaney,Home Office,US-Wes-Cal-San-92037
TB-21400,Tom Boeckenhauer,Consumer,US-Wes-Was-Sea-98105
DB-13270,Deborah Brumfield,Home Office,US-Wes-Cal-San-92024
MH-17440,Mark Haberlin,Corporate,US-Wes-Cal-Esc-92025
ND-18460,Neil Ducich,Corporate,US-Sou-Vir-Che-23320
DL-13315,Delfina Latchford,Consumer,US-Cen-Ill-Rom-60441
CK-12760,Cyma Kinney,Corporate,US-Eas-New-Lin-7036
CS-12250,Chris Selesnick,Corporate,US-Eas-New-New-10024
NM-18445,Nathan Mautz,Home Office,US-Wes-Nev-Nor-89031
GA-14725,Guy Armstrong,Consumer,US-Cen-Mis-Col-65203
