Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount|Profit
4675|CA-2021-133550|01-08-2021|07-08-2021|Standard Class|KL-16645|Ken Lonsdale|Consumer|United States|Detroit|Michigan|48205|Central|FUR-FU-10002918|Furniture|Furnishings|Eldon ClusterMat Chair Mat with Cordless Antistatic Protection|272.94|3|0.0|30.0234
4673|CA-2021-133550|01-08-2021|07-08-2021|Standard Class|KL-16645|Ken Lonsdale|Consumer|United States|Detroit|Michigan|48205|Central|TEC-PH-10004042|Technology|Phones|ClearOne Communications CHAT 70 OC Speaker Phone|635.96|4|0.0|165.3496
4674|CA-2021-133550|01-08-2021|07-08-2021|Standard Class|KL-16645|Ken Lonsdale|Consumer|United States|Detroit|Michigan|48205|Central|TEC-PH-10001079|Technology|Phones|Polycom SoundPoint Pro SE-225 Corded phone|118.99|1|0.0|33.3172
4672|CA-2021-133550|01-08-2021|07-08-2021|Standard Class|KL-16645|Ken Lonsdale|Consumer|United States|Detroit|Michigan|48205|Central|OFF-AP-10001005|Office Supplies|Appliances|Honeywell Quietcare HEPA Air Cleaner|283.14|4|0.1|72.358
8168|CA-2021-144148|01-08-2021|06-08-2021|Standard Class|AH-10690|Anna Häberlin|Corporate|United States|San Francisco|California|94122|West|FUR-TA-10002774|Furniture|Tables|Laminate Occasional Tables|863.128|-7|0.2|-32.3673
7770|CA-2021-155978|02-08-2021|02-08-2021|Same Day|TS-21205|Thomas Seio|Corporate|United States|Riverside|California|92503|West|TEC-PH-10002885|Technology|Phones|Apple iPhone 5|1039.728|2|0.2|90.9762
7102|CA-2021-144337|02-08-2021|06-08-2021|Second Class|SG-20890|Susan Gilcrest|Corporate|United States|Amarillo|Texas|79109|Central|OFF-PA-10000249|Office Supplies|Paper|Staples|19.648|2|0.2|6.6312
7771|CA-2021-155978|02-08-2021|02-08-2021|Same Day|TS-21205|Thomas Seio|Corporate|United States|Riverside|California|92503|West|OFF-AP-10002892|Office Supplies|Appliances|Belkin F5C206VTEL 6 Outlet Surge|45.96|2|0.0|13.788
9155|CA-2021-132990|02-08-2021|04-08-2021|Second Class|KM-16660|Khloe Miller|Consumer|United States|Philadelphia|Pennsylvania|19140|East|FUR-FU-20004864|Furniture|Furnishings|Eldon 500 Class Desk Accessories|19.312|2|0.2|3.1382
5247|CA-2021-156265|03-08-2021|05-08-2021|Second Class|BF-11020|Barry Französisch|Corporate|United States|Los Angeles|California|90032|West|OFF-BI-10000285|Office Supplies|Binders|XtraLife ClearVue Slant-D Ring Binders by Cardinal|12.544|2|0.2|4.704
