Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount|Profit
3195|CA-2019-165428|01-09-2019|04-09-2019|First Class|JL-15130|Jack Lebron|Consumer|United States|Houston|Texas|77036|Central|OFF-PA-10004100|Office Supplies|Paper|Xerox 216|31.104|6|0.2|10.8864
3194|CA-2019-165428|01-09-2019|04-09-2019|First Class|JL-15130|Jack Lebron|Consumer|United States|Houston|Texas|77036|Central|OFF-BI-10002949|Office Supplies|Binders|Prestige Round Ring Binders|3.648|3|0.8|-6.0192
8243|CA-2019-109855|01-09-2019|05-09-2019|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|New York City|New York|10009|East|TEC-AC-10002842|Technology|Accessories|WD My Passport Ultra 2TB Portable External Hard Drive|357.0|3|0.0|57.12
8242|CA-2019-109855|01-09-2019|05-09-2019|Standard Class|LH-16900|Lena Hernandez|Consumer|United States|New York City|New York|10009|East|OFF-BI-10004716|Office Supplies|Binders|Wilson Jones Hanging Recycled Pressboard Data Binders|23.744|2|0.2|8.3104
1162|CA-2019-126522|01-09-2019|05-09-2019|Second Class|LT-16765|Larry Tron|Consumer|United States|Escondido|California|92025|West|OFF-AR-10004042|Office Supplies|Art|BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain|53.94|3|0.0|15.6426
7289|CA-2019-158281|02-09-2019|07-09-2019|Standard Class|AG-10525|Andy Gerbode|Corporate|United States|Houston|Texas|77095|Central|TEC-MA-10002210|Technology|Machines|Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop|559.71|3|0.4|-121.2705
4404|CA-2019-127936|02-09-2019|04-09-2019|First Class|CL-12565|Clay Ludtke|Consumer|United States|New York City|New York|10009|East|OFF-AR-10002445|Office Supplies|Art|SANFORD Major Accent Highlighters|21.24|3|0.0|8.0712
5029|CA-2019-151792|02-09-2019|07-09-2019|Second Class|CV-12295|Christina VanderZanden|Consumer|United States|Chicago|Illinois|60653|Central|TEC-AC-10001606|Technology|Accessories|Logitech Wireless Performance Mouse MX for PC and Mac|239.976|3|0.2|53.9946
4930|US-2019-138828|02-09-2019|03-09-2019|First Class|KD-16345|Katherine Ducich|Consumer|United States|New York City|New York|10009|East|OFF-AR-10000658|Office Supplies|Art|Newell 324|57.75|5|0.0|16.17
9140|CA-2019-106971|02-09-2019|08-09-2019|Standard Class|BM-11785|Bryan Mills|Consumer|United States|Buffalo Grove|Illinois|60089|Central|TEC-AC-10000844|Technology|Accessories|Logitech Gaming G510s - Keyboard|475.944|7|0.2|95.1888
2925|CA-2019-157721|02-09-2019|05-09-2019|First Class|JM-16195|Justin MacKendrick|Consumer|United States|Watertown|New York|13601|East|OFF-AP-10001303|Office Supplies|Appliances|Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter|19.9|1|0.0|8.955
9034|CA-2019-152268|02-09-2019|07-09-2019|Standard Class|SC-20095|Sanjit Chand|Consumer|United States|Fayetteville|Arkansas|72701|South|OFF-BI-10001359|Office Supplies|Binders|GBC DocuBind TL300 Electric Binding System|1793.98|2|0.0|843.1706
4931|US-2019-138828|02-09-2019|03-09-2019|First Class|KD-16345|Katherine Ducich|Consumer|United States|New York City|New York|10009|East|OFF-PA-10000349|Office Supplies|Paper|Staples|14.94|3|0.0|7.0218
2926|CA-2019-157721|02-09-2019|05-09-2019|First Class|JM-16195|Justin MacKendrick|Consumer|United States|Watertown|New York|13601|East|FUR-FU-10002116|Furniture|Furnishings|Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats|70.71|1|0.0|4.9497
4986|CA-2019-125171|03-09-2019|03-09-2019|Same Day|AG-10390|Allen Goldenen|Consumer|United States|New York City|New York|10009|East|OFF-LA-10001175|Office Supplies|Labels|Avery 514|14.4|5|0.0|7.056
8398|US-2019-120236|03-09-2019|04-09-2019|First Class|MR-17545|Mathew Reese|Home Office|United States|Houston|Texas|77095|Central|OFF-BI-10004099|Office Supplies|Binders|GBC VeloBinder Strips|7.68|5|0.8|-11.52
5430|CA-2019-136861|05-09-2019|07-09-2019|First Class|PR-18880|Patrick Ryan|Consumer|United States|Saint Petersburg|Florida|33710|South|FUR-FU-10001967|Furniture|Furnishings|Telescoping Adjustable Floor Lamp|31.984|2|0.2|1.999
2516|CA-2019-106572|05-09-2019|10-09-2019|Standard Class|NP-18700|Nora Preis|Consumer|United States|Bowling Green|Ohio|43402|East|OFF-ST-10000585|Office Supplies|Storage|Economy Rollaway Files|264.32|2|0.2|19.824
6624|CA-2019-130449|06-09-2019|09-09-2019|First Class|VP-21760|Victoria Pisteka|Corporate|United States|San Francisco|California|94109|West|OFF-LA-10001934|Office Supplies|Labels|Avery 516|58.48|8|0.0|27.4856
6623|CA-2019-130449|06-09-2019|09-09-2019|First Class|VP-21760|Victoria Pisteka|Corporate|United States|San Francisco|California|94109|West|FUR-FU-10001487|Furniture|Furnishings|Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood|41.88|6|0.0|12.1452
5261|CA-2019-105165|07-09-2019|10-09-2019|First Class|SZ-20035|Sam Zeldin|Home Office|United States|Houston|Texas|77036|Central|TEC-PH-10000675|Technology|Phones|Panasonic KX TS3282B Corded phone|196.776|3|0.2|14.7582
