Row ID|Order ID|Order Date|Ship Date|Ship Mode|Customer ID|Customer Name|Segment|Country|City|State|Postal Code|Region|Product ID|Category|Sub-Category|Product Name|Sales|Quantity|Discount
9951|CA-2022-121559|02-06-2022|04-06-2022|Second Class|HW-14935|Helen Wasserman|Corporate|United States|Indianapolis|Indiana|46203|Central|TEC-AC-10001714|Technology|Accessories|Logitech MX Performance Wireless Mouse|39.89|1|0.0
9949|CA-2022-121559|02-06-2022|04-06-2022|Second Class|HW-14935|Helen Wasserman|Corporate|United States|Indianapolis|Indiana|46203|Central|OFF-AP-10002945|Office Supplies|Appliances|Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room|2405.2|8|0.0
9948|CA-2022-121559|02-06-2022|04-06-2022|Second Class|HW-14935|Helen Wasserman|Corporate|United States|Indianapolis|Indiana|46203|Central|FUR-CH-10003746|Furniture|Chairs|Hon 4070 Series Pagoda Round Back Stacking Chairs|1925.88|6|0.0
9952|CA-2022-121559|02-06-2022|04-06-2022|Second Class|HW-14935|Helen Wasserman|Corporate|United States|Indianapolis|Indiana|46203|Central|OFF-BI-10002072|Office Supplies|Binders|Cardinal Slant-D Ring Binders|17.38|2|0.0
4838|CA-2022-106831|02-06-2022|04-06-2022|First Class|FH-14350|Fred Harton|Consumer|United States|Dublin|Ohio|43017|East|OFF-BI-10003429|Office Supplies|Binders|Cardinal HOLDit! Binder Insert Strips,Extra Strips|3.798|2|0.7
4839|CA-2022-106831|02-06-2022|04-06-2022|First Class|FH-14350|Fred Harton|Consumer|United States|Dublin|Ohio|43017|East|OFF-PA-10000682|Office Supplies|Paper|Xerox 1924|27.744|6|0.2
7660|CA-2022-146493|02-06-2022|06-06-2022|Standard Class|CV-12805|Cynthia Voltz|Corporate|United States|Fremont|Nebraska|68025|Central|OFF-BI-10003676|Office Supplies|Binders|GBC Standard Recycled Report Covers, Clear Plastic Sheets|53.9|5|0.0
4840|CA-2022-106831|02-06-2022|04-06-2022|First Class|FH-14350|Fred Harton|Consumer|United States|Dublin|Ohio|43017|East|TEC-PH-10001700|Technology|Phones|Panasonic KX-TG6844B Expandable Digital Cordless Telephone|158.376|4|0.4
2288|US-2022-112928|02-06-2022|06-06-2022|Second Class|BB-10990|Barry Blumstein|Corporate|United States|Toledo|Ohio|43615|East|OFF-AP-10002287|Office Supplies|Appliances|Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags|17.48|5|0.2
7801|CA-2022-157413|02-06-2022|07-06-2022|Standard Class|BW-11065|Barry Weirich|Consumer|United States|Philadelphia|Pennsylvania|19120|East|OFF-ST-10002756|Office Supplies|Storage|"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand"|324.744|3|0.2
9950|CA-2022-121559|02-06-2022|04-06-2022|Second Class|HW-14935|Helen Wasserman|Corporate|United States|Indianapolis|Indiana|46203|Central|TEC-AC-10004568|Technology|Accessories|Maxell LTO Ultrium - 800 GB|83.97|3|0.0
7733|CA-2022-143294|03-06-2022|09-06-2022|Standard Class|JD-15790|John Dryer|Consumer|United States|Houston|Texas|77070|Central|OFF-PA-10000743|Office Supplies|Paper|Xerox 1977|10.688|2|0.2
1331|CA-2022-127705|03-06-2022|07-06-2022|Standard Class|AB-10255|Alejandro Ballentine|Home Office|United States|Lorain|Ohio|44052|East|TEC-PH-10000347|Technology|Phones|Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple|2.97|1|0.4
1332|CA-2022-127705|03-06-2022|07-06-2022|Standard Class|AB-10255|Alejandro Ballentine|Home Office|United States|Lorain|Ohio|44052|East|OFF-ST-10004507|Office Supplies|Storage|Advantus Rolling Storage Box|27.44|2|0.2
4769|CA-2022-158883|03-06-2022|04-06-2022|Same Day|CS-11860|Cari Schnelling|Consumer|United States|Jacksonville|North Carolina|28540|South|OFF-PA-10004733|Office Supplies|Paper|Things To Do Today Spiral Book|25.344|4|0.2
3690|CA-2022-140760|03-06-2022|06-06-2022|Second Class|DO-13435|Denny Ordway|Consumer|United States|Mesa|Arizona|85204|West|OFF-EN-10001141|Office Supplies|Envelopes|"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9"""|43.92|5|0.2
3689|CA-2022-140760|03-06-2022|06-06-2022|Second Class|DO-13435|Denny Ordway|Consumer|United States|Mesa|Arizona|85204|West|OFF-PA-10002479|Office Supplies|Paper|Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)|25.344|6|0.2
6479|CA-2022-140872|04-06-2022|11-06-2022|Standard Class|NR-18550|Nick Radford|Consumer|United States|Pembroke Pines|Florida|33024|South|OFF-PA-10000809|Office Supplies|Paper|Xerox 206|15.552|3|0.2
6125|CA-2022-145772|04-06-2022|08-06-2022|Standard Class|SS-20140|Saphhira Shifley|Corporate|United States|Los Angeles|California|90036|West|TEC-AC-10003038|Technology|Accessories|Kingston Digital DataTraveler 16GB USB 2.0|44.75|5|0.0
9451|CA-2022-145506|04-06-2022|08-06-2022|Standard Class|MO-17800|Meg O'Connel|Home Office|United States|Spokane|Washington|99207|West|OFF-ST-10004963|Office Supplies|Storage|Eldon Gobal File Keepers|136.26|9|0.0
6126|CA-2022-145772|04-06-2022|08-06-2022|Standard Class|SS-20140|Saphhira Shifley|Corporate|United States|Los Angeles|California|90036|West|OFF-PA-10001593|Office Supplies|Paper|Xerox 1947|11.96|2|0.0
6127|CA-2022-145772|04-06-2022|08-06-2022|Standard Class|SS-20140|Saphhira Shifley|Corporate|United States|Los Angeles|California|90036|West|OFF-BI-10002049|Office Supplies|Binders|UniKeep View Case Binders|3.912|1|0.2
205|CA-2022-126382|04-06-2022|08-06-2022|Standard Class|HK-14890|Heather Kirkland|Corporate|United States|Franklin|Tennessee|37064|South|FUR-FU-10002960|Furniture|Furnishings|Eldon 200 Class Desk Accessories, Burgundy|35.168|7|0.2
6480|CA-2022-140872|04-06-2022|11-06-2022|Standard Class|NR-18550|Nick Radford|Consumer|United States|Pembroke Pines|Florida|33024|South|TEC-PH-10000441|Technology|Phones|VTech DS6151|503.96|5|0.2
6476|CA-2022-140872|04-06-2022|11-06-2022|Standard Class|NR-18550|Nick Radford|Consumer|United States|Pembroke Pines|Florida|33024|South|OFF-BI-10002432|Office Supplies|Binders|Wilson Jones Standard D-Ring Binders|4.554|3|0.7
5926|CA-2022-150420|04-06-2022|09-06-2022|Standard Class|GD-14590|Giulietta Dortch|Corporate|United States|Bellingham|Washington|98226|West|TEC-AC-10004975|Technology|Accessories|Plantronics Audio 995 Wireless Stereo Headset|1099.5|10|0.0
6486|CA-2022-113908|04-06-2022|10-06-2022|Standard Class|KN-16390|Katherine Nockton|Corporate|United States|New York City|New York|10011|East|OFF-PA-10004156|Office Supplies|Paper|Xerox 188|45.36|4|0.0
6485|CA-2022-113908|04-06-2022|10-06-2022|Standard Class|KN-16390|Katherine Nockton|Corporate|United States|New York City|New York|10011|East|TEC-MA-10003173|Technology|Machines|Hewlett-Packard 300S Scientific Calculator|78.66|6|0.0
6484|CA-2022-113908|04-06-2022|10-06-2022|Standard Class|KN-16390|Katherine Nockton|Corporate|United States|New York City|New York|10011|East|FUR-TA-10001932|Furniture|Tables|"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table"|384.768|2|0.4
