Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Total_Sales,Price_After_Disc,Unit_Cost,Order_Type,shipment_id,Location_ID
7981,CA-2019-103800,04-01-2019,08-01-2019,Standard Class,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",0,0,0.2,5.5512,0,0,0,Returns,SC-2019-01-103800,US-Cen-Tex-Hou-77095
740,CA-2019-112326,05-01-2019,09-01-2019,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,0,0,0.2,4.2717,0,0,0,Returns,SC-2019-01-112326,US-Cen-Ill-Nap-60540
741,CA-2019-112326,05-01-2019,09-01-2019,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,0,0,0.2,-64.7748,0,0,0,Returns,SC-2019-01-112326,US-Cen-Ill-Nap-60540
742,CA-2019-112326,05-01-2019,09-01-2019,Standard Class,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,0,0,0.8,-5.487,0,0,0,Returns,SC-2019-01-112326,US-Cen-Ill-Nap-60540
1760,CA-2019-141817,06-01-2019,13-01-2019,Standard Class,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",0,0,0.2,4.884,0,0,0,Returns,SC-2019-01-141817,US-Eas-Pen-Phi-19143
7477,CA-2019-167199,07-01-2019,11-01-2019,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,0,0,0,1.4796,0,0,0,Returns,SC-2019-01-167199,US-Sou-Ken-Hen-42420
7475,CA-2019-167199,07-01-2019,11-01-2019,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,0,0,0,746.4078,0,0,0,Returns,SC-2019-01-167199,US-Sou-Ken-Hen-42420
7476,CA-2019-167199,07-01-2019,11-01-2019,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-20004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,0,0,0,274.491,0,0,0,Returns,SC-2019-01-167199,US-Sou-Ken-Hen-42420
7181,CA-2019-106054,07-01-2019,08-01-2019,First Class,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",0,0,0,5.2398,0,0,0,Returns,FC-2019-01-106054,US-Sou-Geo-Ath-30605
7478,CA-2019-167199,07-01-2019,11-01-2019,Standard Class,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,0,0,0,113.6742,0,0,0,Returns,SC-2019-01-167199,US-Sou-Ken-Hen-42420
